VendorID,RateCodeID,Passenger_count,Trip_distance,Fare_amount,MTA_tax,Tip_amount,Tolls_amount,improvement_surcharge,Total_amount,Payment_type,Trip_type 
2,1,1,1.55,8.5,0.5,0,0,0.3,9.3,2,1
2,1,1,6.3,22.5,0.5,0,5.54,0.3,28.84,2,1
2,1,1,4.19,21,0.5,5.45,0,0.3,27.25,1,1
2,1,1,0.86,5.5,0.5,0,0,0.3,6.3,2,1
2,1,1,3.52,19,0.5,0,0,0.3,19.8,2,1
2,1,1,0.6,4.5,0.5,0,0,0.3,5.3,2,1
2,1,1,2.86,16,0.5,0,0,0.3,16.8,2,1
2,1,1,1.82,12.5,0.5,2.66,0,0.3,15.96,1,1
2,1,1,1.13,7,0.5,0,0,0.3,7.8,2,1
2,1,1,2.03,13,0.5,0,0,0.3,13.8,2,1
2,1,1,7.49,21,0.5,0,5.54,0.3,27.34,2,1
2,1,1,2.35,10.5,0.5,2.26,0,0.3,13.56,1,1
2,1,1,1.37,7.5,0.5,0,0,0.3,8.3,2,1
2,1,1,0,2.5,0.5,0,0,0.3,3.3,1,1
2,1,1,0.71,5,0.5,1.16,0,0.3,6.96,1,1
2,1,1,2.17,11,0.5,0,0,0.3,11.8,2,1
2,1,1,5.66,25.5,0.5,1,0,0.3,27.3,1,1
2,1,1,0.41,4,0.5,0,0,0.3,4.8,2,1
2,1,1,3.02,18,0.5,3.76,0,0.3,22.56,1,1
2,1,1,2.24,10,0.5,2.16,0,0.3,12.96,1,1
2,1,1,2.92,13,0.5,3,0,0.3,16.8,1,1
2,1,1,2.91,18,0.5,0,0,0.3,18.8,2,1
2,1,6,1.66,10,0.5,0.5,0,0.3,11.3,1,1
2,1,1,8.17,24.5,0.5,5.06,0,0.3,30.36,1,1
2,1,1,1.63,8.5,0.5,0,0,0.3,9.3,2,1
2,1,1,2.81,12.5,0.5,2,5.54,0.3,20.84,1,1
2,1,1,2.37,10,0.5,0,0,0.3,10.8,2,1
2,1,1,5.97,20,0.5,3,0,0.3,23.8,1,1
2,1,1,2.35,9,0.5,2.45,0,0.3,12.25,1,1
2,1,2,0.94,5,0.5,1.74,0,0.3,7.54,1,1
2,1,1,2.06,9,0.5,0,0,0.3,9.8,2,1
2,1,1,1.78,8.5,0.5,1.86,0,0.3,11.16,1,1
2,1,2,2.66,11.5,0.5,1.5,0,0.3,13.8,1,1
2,1,1,0.43,3.5,0.5,0,0,0.3,4.3,2,1
2,1,1,8.42,24.5,0.5,5.06,0,0.3,30.36,1,1
2,1,1,1.17,6,0.5,0,0,0.3,6.8,2,1
2,1,1,4.32,20,0.5,0,0,0.3,20.8,2,1
2,1,1,2.46,11,0.5,3.54,0,0.3,15.34,1,1
2,1,1,2.79,10.5,0.5,2,0,0.3,13.3,1,1
2,1,1,0.68,5,0.5,1.16,0,0.3,6.96,1,1
2,1,1,2.32,12,0.5,2,0,0.3,14.8,1,1
2,1,1,6.05,19,0.5,4.95,0,0.3,24.75,1,1
2,1,1,3.87,16.5,0.5,3.46,0,0.3,20.76,1,1
2,1,1,1.95,8.5,0.5,0,0,0.3,9.3,2,1
2,1,1,2.65,16,0.5,0,0,0.3,16.8,2,1
2,1,1,1.3,8.5,0.5,0,0,0.3,9.3,2,1
2,1,1,0,0,0,0,0,0,0,1,1
2,1,1,0.58,5,0.5,0,0,0.3,5.8,2,1
